ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
CY,805,NW,2,Bechtold (2004),5,0.2738,1.0534,0,0.035,0,-0.1385,0,0,0,5449,42.16,-116.39
BL,807,NW,2,Bechtold (2004),5,2.711,1.5159,0,0.415,-0.0271,0,0,0,0,5449,42.16,-116.39
EO,811,NW,2,Bechtold (2004),5,2.711,1.5159,0,0.415,-0.0271,0,0,0,0,5449,42.16,-116.39
WO,815,NW,5,Crookson (2005),1,2.4857,0.70862,0,0.10168,0,0,0,0,0,5449,42.16,-116.39
BO,818,NW,2,Bechtold (2004),5,1.6306,0.9867,0,0.0556,0,-0.1199,0,0,0,5449,42.16,-116.39
VO,821,NW,2,Bechtold (2004),5,-2.1068,1.9385,0,0.086,0,0,0,0,0,5449,42.16,-116.39
IO,839,NW,2,Bechtold (2004),5,0.7146,1.546,0,0,0,-0.1121,0,0,0,5449,42.16,-116.39
BM,312,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
BU,333,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
RA,351,NW,6,Donnelly (1996),1,7.0806,0.4771,0,0,0,0,0,0,0,5449,42.16,-116.39
MA,361,NW,2,Bechtold (2004),5,4.9133,0.9459,0,0.0611,0,0.0523,0,0,0,5449,42.16,-116.39
GC,431,NW,2,Bechtold (2004),5,3.115,0.7966,0,0.0745,-0.0053,0.0523,0,0,0,5449,42.16,-116.39
DG,492,NW,6,Donnelly (1996),1,7.0806,0.4771,0,0,0,0,0,0,0,5449,42.16,-116.39
FL,542,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
WN,600,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
TO,631,NW,2,Bechtold (2004),5,3.115,0.7966,0,0.0745,-0.0053,0.0523,0,0,0,5449,42.16,-116.39
SY,730,NW,2,Bechtold (2004),5,3.115,0.7966,0,0.0745,-0.0053,0.0523,0,0,0,5449,42.16,-116.39
AS,746,NW,5,Crookson (2005),1,4.7961,0.64167,-0.18695,0.18581,0,0,0,0,0,5449,42.16,-116.39
WI,920,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
CN,251,NW,2,Bechtold (2004),5,2.4247,1.3174,0,0.0786,0,0,0,0,0,5449,42.16,-116.39
CL,981,NW,2,Bechtold (2004),5,2.4247,1.3174,0,0.0786,0,0,0,0,0,5449,42.16,-116.39
RW,211,NW,4,Crookston (2005),1,3.7023,0.52618,0,0,0,0,0,0,0,5449,42.16,-116.39
MC,475,NW,2,Bechtold (2004),5,4.0105,0.8611,0,0,0,-0.0431,0,0,0,5449,42.16,-116.39
CB,18,NW,1,Bechtold (2004),5,6.073,0.3756,0,0,0,0,0,0,0,5449,42.16,-116.39
